Tld,Currency,Register,Transfer,Renew,Restore,Trustee,Backorder
hamburg,USD,77.32,71.77,77.32,336.61,9,-
nagoya,USD,19.9,19.9,19.9,84.9,-,-
quebec,USD,32.17,32.17,32.17,124.2,-,-
tokyo,USD,19.9,19.9,19.9,84.9,-,-
wien,USD,61.95,61.95,61.95,196.94,-,-
cologne,USD,38.98,38.98,38.98,175.08,-,-
joburg,USD,43.08,41.33,43.08,140.98,-,-
nyc,USD,31.88,31.88,31.88,229.9,-,-
town,USD,6.99,34.99,34.99,124.9,-,-
yokohama,USD,19.9,19.9,19.9,84.9,-,-
durban,USD,43.08,41.33,43.08,140.98,-,-
koeln,USD,38.98,38.98,38.98,175.08,-,-
okinawa,USD,20.79,20.42,20.79,98.15,-,-
vegas,USD,71.25,71.25,71.25,179.61,-,-
care,USD,18.77,42.49,42.49,134.9,-,-
help,USD,3.99,27.49,27.49,104.9,-,-
vision,USD,6.99,43.74,43.74,129.9,-,-
clinic,USD,12.52,62.49,62.49,164.9,-,-
yoga,USD,32.49,32.49,32.49,134.9,-,-
dental,USD,61.99,62.5,62.5,179.9,-,-
rehab,USD,9.99,34.99,34.99,129.9,-,-
healthcare,USD,74.99,74.99,74.99,199.9,-,-
surgery,USD,55,55,55,154.9,-,-
audio,USD,125,125,125,299.9,-,-
kim,USD,9.49,22.49,22.49,109.9,-,-
机构,USD,14.99,14.99,14.99,26.81,-,-
ng,USD,11.99,-,11.99,28.07,-,-
com.ng,USD,11.99,11.99,11.99,124.9,-,-
net.ng,USD,11.99,11.99,11.99,84.9,-,-
org.ng,USD,11.99,11.99,11.99,119.9,-,-
com.br,USD,29.99,29.99,29.99,25.86,9,-
africa.com,USD,-,-,-,-,-,-
cv,USD,9.99,9.99,9.99,29.9,-,-
mk,USD,26.99,26.99,26.99,74.75,-,-
bar,USD,2.99,85,85,159.9,-,-
menu,USD,43.99,41.5,43.99,156.29,-,-
rest,USD,1.99,39.9,39.9,109.9,-,-
hiv,USD,225,269.09,269.09,419.9,-,-
country,USD,31.88,37.36,37.36,109.9,-,-
hiphop,USD,125,149.49,149.49,390,-,-
luxury,USD,32.5,39,39,129.9,-,-
republican,USD,8.99,31.25,31.25,129.9,-,-
tattoo,USD,39,39.02,39.02,134.9,-,-
diet,USD,125,125,125,299.9,-,-
horse,USD,32.49,32.49,32.49,134.9,-,-
kiwi,USD,26.5,26.5,26.5,121.96,-,-
moda,USD,12.5,39.99,39.99,124.9,-,-
rocks,USD,10.99,22.77,22.77,104.9,-,-
vet,USD,35.99,36.25,36.25,139.9,-,-
church,USD,16.49,56.24,56.24,134.9,-,-
expert,USD,9.99,59.99,59.99,164.9,-,-
lgbt,USD,12.5,77.49,77.49,164.9,-,-
moe,USD,21.31,20.08,21.31,153,-,-
scot,USD,44.82,44.82,44.82,432.56,-,-
cool,USD,6.99,43.74,43.74,129.9,-,-
guru,USD,3.99,41.24,41.24,134.9,-,-
juegos,USD,375,448.49,448.49,1.17,-,-
life,USD,3.49,34.99,34.99,129.9,-,-
ninja,USD,12.99,29.99,29.99,119.9,-,-
agency,USD,6.99,29.99,29.99,114.9,-,-
direct,USD,12.5,39.99,39.99,129.9,-,-
jetzt,USD,9.09,22.49,22.49,109.9,-,-
photos,USD,11.49,28.74,28.74,114.9,-,-
productions,USD,14.99,38.74,38.74,129.9,-,-
tips,USD,9.99,29.99,29.99,119.9,-,-
band,USD,18.99,29.99,29.99,119.9,-,-
exposed,USD,22,22,22,109.9,-,-
media,USD,9.51,43.74,43.74,134.9,-,-
pics,USD,1.99,30.99,30.99,144.9,-,-
